"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"16 Jul 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","270.10","273.90","267.70","273.10","270.90","18480","23100.000 mmBtu","62708.50","3155"
"15 Jul 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","273.00","274.30","269.00","270.90","272.50","17616","22020.000 mmBtu","59863.69","3258"
"14 Jul 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","275.20","279.40","270.40","272.50","274.80","12331","15413.750 mmBtu","42391.96","2781"
"13 Jul 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","278.90","279.80","273.90","274.80","277.40","8425","10531.250 mmBtu","29111.63","2209"
"12 Jul 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","272.20","280.00","270.20","277.40","275.10","11442","14302.500 mmBtu","39416.37","2418"
"09 Jul 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","274.00","278.10","272.30","275.10","274.40","7773","9716.250 mmBtu","26729.98","2075"
"08 Jul 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","267.20","277.30","264.80","274.40","266.40","12028","15035.000 mmBtu","40707.18","2029"
"07 Jul 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","273.10","275.90","262.90","266.40","271.60","10506","13132.500 mmBtu","35318.59","1820"
"06 Jul 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","280.50","281.60","269.00","271.60","279.60","9875","12343.750 mmBtu","33911.31","1942"
"05 Jul 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","276.20","280.10","275.30","279.60","276.10","5422","6777.500 mmBtu","18796.74","2047"
"02 Jul 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","272.50","277.30","268.10","276.10","270.90","9764","12205.000 mmBtu","33254.02","1935"
"01 Jul 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","273.60","278.80","267.60","270.90","270.80","13855","17318.750 mmBtu","47420.99","1719"
"30 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","273.70","278.20","267.60","270.80","271.70","13838","17297.500 mmBtu","47312.56","1764"
"29 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","266.00","282.10","264.80","271.70","267.10","12557","15696.250 mmBtu","42943.60","1569"
"28 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","263.00","270.50","262.00","267.10","260.10","6609","8261.250 mmBtu","22021.45","1554"
"25 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","255.00","260.60","253.30","260.10","254.80","4588","5735.000 mmBtu","14740.10","1516"
"24 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","247.10","255.70","246.10","254.80","248.40","3837","4796.250 mmBtu","12021.09","1134"
"23 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","244.10","251.70","242.70","248.40","243.60","2457","3071.250 mmBtu","7606.05","933"
"22 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","239.00","245.00","238.10","243.60","238.10","1659","2073.750 mmBtu","5021.92","714"
"21 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","240.40","240.40","235.50","238.10","241.10","1316","1645.000 mmBtu","3912.51","482"
"18 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","238.50","243.20","236.40","241.10","242.50","570","712.500 mmBtu","1705.85","391"
"17 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","240.60","242.80","238.70","242.50","239.90","292","365.000 mmBtu","878.98","410"
"16 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","238.00","241.70","235.90","239.90","239.40","363","453.750 mmBtu","1082.46","387"
"15 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","247.10","248.50","239.10","239.40","245.60","544","680.000 mmBtu","1662.96","399"
"14 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","242.80","246.00","241.60","245.60","244.00","331","413.750 mmBtu","1007.94","468"
"11 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","235.00","244.50","235.00","244.00","231.40","483","603.750 mmBtu","1448.50","491"
"10 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","237.00","237.00","231.10","231.40","230.20","362","452.500 mmBtu","1053.90","367"
"09 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","228.50","232.50","228.50","230.20","230.90","470","587.500 mmBtu","1352.34","391"
"08 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","227.50","234.10","227.10","230.90","225.00","698","872.500 mmBtu","2020.18","456"
"07 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","227.90","228.30","223.60","225.00","228.40","210","262.500 mmBtu","594.03","136"
"04 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","226.50","229.20","223.10","228.40","224.90","357","446.250 mmBtu","1007.90","161"
"03 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","228.60","228.60","224.00","224.90","225.80","193","241.250 mmBtu","544.40","105"
"02 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","228.00","230.50","225.50","225.80","229.80","176","220.000 mmBtu","501.31","95"
"01 Jun 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","226.50","231.20","225.20","229.80","223.70","190","237.500 mmBtu","542.18","102"
"31 May 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","222.50","224.00","221.90","223.70","220.70","74","92.500 mmBtu","206.13","73"
"28 May 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","218.50","223.40","217.50","220.70","218.00","78","97.500 mmBtu","215.35","45"
"27 May 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","223.10","223.20","217.00","218.00","222.80","82","102.500 mmBtu","224.92","32"
"26 May 2021","FUTCOM","NATURALGAS   ","26AUG2021","-","0.00","221.80","223.80","220.70","222.80","221.50","59","73.750 mmBtu","163.77","11"
